venue_id,name,city,matched_name,address,lat,lng,confidence,needs_review
amsterdam_031,Stedelijk Museum,Amsterdam,Stedelijk Museum Amsterdam,"Museumplein 10, 1071 DJ Amsterdam, Netherlands",52.3580111,4.879755400000001,high,false
amsterdam_032,Van Gogh Museum,Amsterdam,Van Gogh Museum,"Museumplein 6, 1071 DJ Amsterdam, Netherlands",52.3580757,4.8812053,high,false
amsterdam_033,Kumma Sauna,Amsterdam,Kuuma Marineterrein,"Kattenburgerstraat 5, 1018 JA Amsterdam, Netherlands",52.3733211,4.9163865,high,false
amsterdam_034,Bisou Gallery,Amsterdam,Bisou Gallery,"Levantkade 85, 1019 MJ Amsterdam, Netherlands",52.3764334,4.940015799999999,high,false
amsterdam_035,Rijksmuseum,Amsterdam,Rijksmuseum,"Museumstraat 1, 1071 XX Amsterdam, Netherlands",52.3599976,4.8852188,high,false
amsterdam_036,Foam,Amsterdam,Foam,"Keizersgracht 609, 1017 DS Amsterdam, Netherlands",52.3640863,4.8933224,high,false
amsterdam_037,Moco Museum,Amsterdam,Moco Museum | Amsterdam,"Museum Square, Honthorststraat 20, 1071 DE Amsterdam, Netherlands",52.3587389,4.881907399999999,high,false
amsterdam_038,James Turrell 'Celestial Vault',Amsterdam,"Celestial Vault, James Turrell 1996","Machiel Vrijenhoeklaan 175, 2554 BW Den Haag, Netherlands",52.06312699999999,4.2184808,high,false
amsterdam_039,Ted Amsterdam,Amsterdam,Ted Baker- De Bijenkorf Amsterdam,"Warmoesstraat 178, 1012 JS Amsterdam, Netherlands",52.3732188,4.8947052,high,false
amsterdam_040,Margriet Nannings,Amsterdam,Margriet Nannings - Est.1988,"Prinsenstraat 6 Men | Prinsenstraat 8 Women | Prinsenstraat 15 Outlet, 1015 DA Amsterdam, Netherlands",52.3778193,4.8868702,high,false
amsterdam_041,Rika Studios,Amsterdam,RIKA STUDIOS Town House,"Oude Spiegelstraat 12, 1016 BM Amsterdam, Netherlands",52.3702994,4.8872313,high,false
amsterdam_042,Reyem,Amsterdam,REYÈM,"Eerste Bloemdwarsstraat 21, 1016 KR Amsterdam, Netherlands",52.3739275,4.881774,high,false
amsterdam_043,Droog,Amsterdam,@droog amsterdam,"Staalstraat 7b, 1011 JJ Amsterdam, Netherlands",52.3683956,4.8973055,high,false
amsterdam_044,Nine Streets,Amsterdam,The 9 Streets,"Wolvenstraat 9, 1016 EM Amsterdam, Netherlands",52.3701969,4.8860511,high,false
amsterdam_045,Explore the Canals on a Boat,Amsterdam,Amsterdam Canal Cruises,"Stadhouderskade 550, 1072 AE Amsterdam, Netherlands",52.358171,4.891628,high,false
amsterdam_046,Vondelpark,Amsterdam,Vondelpark,"1071 AA Amsterdam, Netherlands",52.3579946,4.8686484,high,false
amsterdam_047,Anne Frank House,Amsterdam,Anne Frank House,"Westermarkt 20, 1016 GV Amsterdam, Netherlands",52.3752182,4.8839765,high,false
amsterdam_048,Soho House,Amsterdam,Soho House Amsterdam,"Spuistraat 210, 1012 VT Amsterdam, Netherlands",52.3720575,4.888898699999999,high,false
amsterdam_049,The Hoxton,Amsterdam,"The Hoxton, Amsterdam","Herengracht 255, 1016 BJ Amsterdam, Netherlands",52.3718724,4.8874276,high,false
amsterdam_050,Pulitzer,Amsterdam,Pulitzer Amsterdam,"Prinsengracht 323, 1016 GZ Amsterdam, Netherlands",52.3728783,4.883357,high,false
amsterdam_051,Hotel de l'Europe,Amsterdam,De L'Europe,"Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam, Netherlands",52.3675112,4.8942865,high,false
amsterdam_052,Rosewood,Amsterdam,Rosewood Amsterdam,"Prinsengracht 432 – 436, 1017 KE Amsterdam, Netherlands",52.3654349,4.8833664,high,false
amsterdam_053,Carmen,Amsterdam,Carmen Amsterdam,"Keizersgracht 600, 1017 EP Amsterdam, Netherlands",52.36400800000001,4.8896118,high,false
aspen_001,Radio Bakery,Aspen,Paradise Bakery & Cafe,"320 S Galena St, Aspen, CO 81611, USA",39.18816020000001,-106.8185249,high,false
aspen_002,Guggenhiem,Aspen,Guggenheim Charlene MD,"101 Founders Pl Suite 109, Aspen, CO 81611, USA",39.19086730000001,-106.8165001,high,false
aspen_003,Golden Swan,Aspen,MOLLIE Aspen,"111 S Garmisch St, Aspen, CO 81611, USA",39.1909627,-106.8233958,high,false
aspen_004,Funny Bar,Aspen,Zane's Tavern Aspen,"308 S Hunter St #2, Aspen, CO 81611, USA",39.1882491,-106.8172511,high,false
aspen_005,Loser’s at Jeans,Aspen,Loser's Eating House,"30 Vandam St, New York, NY 10013, USA",40.7261643,-74.0049849,low,true
aspen_006,Eva Joan Repair,Aspen,Aspen Stitchworks,"229 E Main St, Aspen, CO 81611, USA",39.1908035,-106.8208114,high,false
aspen_007,Win Son,Aspen,Wayan Aspen,"614 E Cooper Ave, Aspen, CO 81611, USA",39.1878837,-106.8172585,high,false
aspen_008,mollie,Aspen,MOLLIE Aspen,"111 S Garmisch St, Aspen, CO 81611, USA",39.1909627,-106.8233958,high,false
aspen_009,little nell,Aspen,The Little Nell,"675 E Durant Ave, Aspen, CO 81611, USA",39.1863817,-106.8174229,high,false
aspen_010,meat and cheese,Aspen,Meat & Cheese Restaurant and Farm Shop,"301 E Hopkins Ave #103, Aspen, CO 81611, USA",39.1897911,-106.8204457,high,false
aspen_011,performance ski,Aspen,Performance Ski,"614 E Durant Ave, Aspen, CO 81611, USA",39.1871399,-106.8177753,high,false
aspen_012,pitkin county dry goods,Aspen,Pitkin County Dry Goods,"520 E Cooper Ave, Aspen, CO 81611, USA",39.188099,-106.8182752,high,false
aspen_013,redone,Aspen,RE/DONE,"432B E Hyman Ave, Aspen, CO 81611, USA",39.1890335,-106.8187056,high,false
aspen_014,fusalp,Aspen,Fusalp Aspen,"420 E Hyman Ave, Aspen, CO 81611, USA",39.1891937,-106.8191052,high,false
aspen_015,nick fouquet,Aspen,Nick Fouquet,"520 E Hyman Ave, Aspen, CO 81611, USA",39.188882,-106.817728,high,false
aspen_016,paradise bakery,Aspen,Paradise Bakery & Cafe,"320 S Galena St, Aspen, CO 81611, USA",39.18816020000001,-106.8185249,high,false
aspen_017,matsuhisa,Aspen,Matsuhisa,"303 E Main St, Aspen, CO 81611, USA",39.1906522,-106.8202674,high,false
aspen_018,custom hat,Aspen,Kemo Sabe Aspen,"217 S Galena St, Aspen, CO 81611, USA",39.189211,-106.818714,high,false
aspen_019,casa tua,Aspen,Casa Tua Aspen,"403 S Galena St, Aspen, CO 81611, USA",39.1879505,-106.8191302,high,false
aspen_020,caribou club,Aspen,Caribou Club,"411 E Hopkins Ave, Aspen, CO 81611, USA",39.1896678,-106.8191731,high,false
aspen_021,bonnie’s,Aspen,Bonnie's Restaurant,"Aspen Mountain, Aspen, CO 81611, USA",39.1619079,-106.8243073,high,false
aspen_022,one of the above you haven’t been to,Aspen,Aspen/Pitkin County Airport,"233 Airport Rd, Aspen, CO 81611, USA",39.22126859999999,-106.86761,high,false
aspen_023,kemo sabe and make acustom hat,Aspen,Kemo Sabe Aspen,"217 S Galena St, Aspen, CO 81611, USA",39.189211,-106.818714,high,false
aspen_024,Jeansis,Aspen,Misstyx,"400 E Hyman Ave #2, Aspen, CO 81611, USA",39.1892276,-106.8195431,high,false
athens_001,Wine is Fine,Athens,Wine is fine,"Vissis 6, Athina 105 51, Greece",37.9786563,23.7276028,high,false
